         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 version.py:191(Version)
     1289    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      618    0.002    0.000    0.007    0.000 _inspect.py:98(getargspec)
    63/11    0.000    0.000    0.007    0.001 pyparsing.py:4030(parseImpl)
      656    0.003    0.000    0.007    0.000 version.py:131(_legacy_cmpkey)
      714    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      491    0.000    0.000    0.007    0.000 colors.py:120(is_color_like)
        1    0.000    0.000    0.007    0.007 uuid.py:45(<module>)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
        6    0.001    0.000    0.007    0.001 patches.py:1872(_pprint_styles)
        1    0.000    0.000    0.007    0.007 __init__.py:75(<module>)
      677    0.004    0.000    0.007    0.000 decorator.py:145(update)
      681    0.001    0.000    0.007    0.000 re.py:184(sub)
       87    0.000    0.000    0.007    0.000 __init__.py:2191(_handle_ns)
        3    0.000    0.000    0.007    0.002 context.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_bases.py:33(<module>)
     2155    0.003    0.000    0.007    0.000 value.py:391(_next)
      797    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:318(__exit__)
  497/317    0.002    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    0.000    0.000    0.007    0.003 utils.py:5(<module>)
        1    0.000    0.000    0.007    0.007 graphml.py:45(<module>)
     6553    0.005    0.000    0.006    0.000 sre_parse.py:163(__getitem__)
     1546    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:78(acquire)
    15530    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
        7    0.000    0.000    0.006    0.001 enum.py:604(_convert)
        1    0.000    0.000    0.006    0.006 legend.py:22(<module>)
      121    0.000    0.000    0.006    0.000 __init__.py:2290(fixup_namespace_packages)
       15    0.002    0.000    0.006    0.000 enum.py:124(__new__)
    20920    0.006    0.000    0.006    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.006    0.006 Image.py:27(<module>)
       30    0.000    0.000    0.006    0.000 rcsetup.py:464(validate_font_properties)
        1    0.000    0.000    0.006    0.006 jit.py:34(<module>)
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
        1    0.000    0.000    0.006    0.006 util.py:310(find_library)
    24786    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.006    0.001 fontconfig_pattern.py:113(parse)
        1    0.000    0.000    0.006    0.006 pyparsing.py:5399(pyparsing_common)
      254    0.000    0.000    0.006    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
      111    0.000    0.000    0.006    0.000 rcsetup.py:90(<listcomp>)
        1    0.000    0.000    0.006    0.006 util.py:150(_get_soname)
        1    0.000    0.000    0.006    0.006 parse.py:28(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1312(get_setters)
       50    0.000    0.000    0.006    0.000 traceback.py:200(extract_stack)
        1    0.000    0.000    0.006    0.006 font_manager.py:916(json_load)
        2    0.000    0.000    0.006    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.006    0.006 connectivity.py:4(<module>)
        1    0.001    0.001    0.006    0.006 plistlib.py:47(<module>)
     1546    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
     8386    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.006    0.001 pyparsing.py:5101(__init__)
      787    0.001    0.000    0.006    0.000 {built-in method builtins.next}
        9    0.000    0.000    0.006    0.001 enum.py:366(_create_)
     3561    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
       60    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(linspace)
      841    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:151(__exit__)
    28687    0.006    0.000    0.006    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.006    0.006 closer.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _datasource.py:36(<module>)
       85    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
        1    0.000    0.000    0.006    0.006 __init__.py:274(load)
     32/9    0.000    0.000    0.006    0.001 pyparsing.py:4447(leaveWhitespace)
    10704    0.003    0.000    0.006    0.000 mathtext.py:2839(<genexpr>)
        1    0.000    0.000    0.006    0.006 nanfunctions.py:22(<module>)
       60    0.002    0.000    0.006    0.000 function_base.py:37(linspace)
      792    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
       50    0.001    0.000    0.006    0.000 traceback.py:319(extract)
       12    0.000    0.000    0.005    0.000 pyparsing.py:4251(__init__)
        2    0.000    0.000    0.005    0.003 __init__.py:302(loads)
